j,true_a_n_m,fitted_a_n_m,error_m
1,6.703775754597e-07,-1.786759086069e-07,-8.490534840666e-07
2,-2.287965033729e-06,-3.434279599320e-06,-1.146314565591e-06
3,1.650992630774e-06,2.304315138006e-06,6.533225072322e-07
4,2.069242376061e-06,2.553746870606e-06,4.845044945457e-07
5,-4.292277415038e-06,-5.342853512469e-06,-1.050576097431e-06
