j,true_a_n_m,fitted_a_n_m,error_m
1,6.703775754597e-07,3.435254109766e-07,-3.268521644831e-07
2,-2.287965033729e-06,-3.338158908090e-06,-1.050193874361e-06
3,1.650992630774e-06,1.950049152004e-06,2.990565212297e-07
4,2.069242376061e-06,2.417019334287e-06,3.477769582268e-07
5,-4.292277415038e-06,-5.003729878327e-06,-7.114524632886e-07
